,Id,Company,Model,Horsepower,Torque,Transmission Type,Drivetrain,Fuel Economy,Number of Doors,Price,Model Year Range,Body Type,Engine Type,Number of Cylinders,Seats,Fuel Type,Colour
0,45cbdca6-6c96-4456-a45e-7f5bedfd7e2b,Ferrari,812 Superfast,789 hp,530 lb-ft,7-speed automatic,RWD,13/20 mpg,2,"$366,712",2018 - Present,Coupe,6.5L V12,12,5,CNG,"['red', 'white', 'black', 'grey', 'green', 'yellow']"
1,aa5eb2e9-4577-481c-846d-9a75a13d8599,Ferrari,F8 Tributo,710 hp,568 lb-ft,7-speed automatic,RWD,15/19 mpg,2,"$276,550",2020 - Present,Coupe,3.9L V8,8,7,Petrol,"['blue', 'grey', 'silver', 'brown']"
2,da8c5cb5-76ec-4a8b-9c5e-9dff053784f8,Ferrari,Roma,611 hp,560 lb-ft,8-speed automatic,RWD,16/24 mpg,2,"$218,750",2021 - Present,Coupe,3.9L V8,8,4,Petrol,"['white', 'black', 'silver', 'grey', 'green', 'yellow', 'silver', 'brown']"
3,504ece18-deba-4e0d-8588-b08311b2635a,Ferrari,Portofino M,612 hp,561 lb-ft,8-speed automatic,RWD,16/22 mpg,2,"$254,475",2021 - Present,Convertible,3.9L V8,8,4,CNG,"['red', 'white', 'blue', 'black', 'silver', 'grey', 'green', 'yellow', 'silver', 'brown']"
4,590abe94-ed8e-4b4e-b25b-6cf9298e7735,Ferrari,SF90 Stradale,986 hp,590 lb-ft,8-speed automatic,AWD,18 mpg (combined),2,"$625,000",2020 - Present,Coupe,4.0L V8,8,2,Petrol,"['red', 'white', 'black', 'silver', 'yellow']"
5,626e79b0-8bc2-439d-8615-db06db43de6b,Ferrari,488 Pista,711 hp,568 lb-ft,7-speed automatic,RWD,15/20 mpg,2,"$350,050",2019 - 2020,Coupe,3.9L V8,8,4,Petrol,"['red', 'white', 'blue', 'black', 'yellow', 'brown']"
6,49daf659-e0bb-4d09-97ea-d79353987005,Ferrari,GTC4Lusso,680 hp,514 lb-ft,7-speed automatic,AWD,12/17 mpg,4,"$298,750",2017 - 2020,Hatchback,6.3L V12,12,4,Petrol,"['blue', 'black', 'silver', 'green', 'silver']"
7,ddd8308e-5400-422d-bc15-b72107020059,Ferrari,488 GTB,661 hp,561 lb-ft,7-speed automatic,RWD,15/22 mpg,2,"$262,647",2016 - 2019,Coupe,3.9L V8,8,4,CNG,"['grey', 'silver', 'brown']"
8,f721e40e-e9bc-4025-9b70-d73f7b74984d,Ferrari,California T,553 hp,557 lb-ft,7-speed automatic,RWD,16/23 mpg,2,"$202,723",2015 - 2018,Convertible,3.9L V8,8,7,CNG,"['blue', 'grey', 'green', 'yellow', 'silver', 'brown']"
9,7bb790e2-5ec6-411a-b0f2-f751583df27b,Ferrari,LaFerrari,950 hp,664 lb-ft,7-speed automatic,RWD,12 mpg (combined),2,"$1,420,000",2014 - 2016,Coupe,6.3L V12,12,5,CNG,"['red', 'white', 'blue', 'silver', 'grey', 'silver', 'brown']"
10,04b4669e-0dab-47d9-82a9-867304e1931f,Mahindra,XUV300,109 hp,200 Nm,"6-speed Manual, 6-speed AMT",FWD,13-20 km/l,5,Rs. 7.96 - 13.33 Lakh,2019 - present,SUV,"1.2L Turbo Petrol, 1.5L Turbo Diesel",3/4,7,Diesel,"['blue', 'black', 'grey', 'yellow', 'silver', 'brown']"
11,1bd0843f-6f79-421b-971a-3a3081bf935b,Mahindra,Scorpio,140 hp,320 Nm,6-speed Manual,RWD,15 km/l,"5, 7",Rs. 12.57 - 16.53 Lakh,2020 - present,SUV,2.2L mHawk Diesel,4,4,Petrol,"['red', 'black', 'green', 'yellow', 'silver']"
12,85b062db-79d5-475d-b99b-9369802dcb96,Mahindra,Thar,"152 hp (petrol), 132 hp (diesel)","320 Nm (petrol), 300 Nm (diesel)","6-speed Manual, 6-speed AT",4WD,7-12 km/l,"4, 6",Rs. 12.11 - 16.86 Lakh,2020 - present,SUV,"2.0L Turbo Petrol, 2.2L mHawk Diesel",4,2,CNG,"['blue', 'silver', 'grey', 'yellow', 'silver']"
13,4b844cae-0d0f-471a-8f2e-825096363523,Mahindra,Bolero,75 hp,210 Nm,5-speed Manual,RWD,16 km/l,"5, 7",Rs. 8.67 - 9.39 Lakh,2001 - present,SUV,1.5L mHawk75 Diesel,3,5,Petrol,"['white', 'blue', 'green', 'yellow', 'silver']"
14,65dff8ca-cdb0-47d7-ba7a-b3d06f49de0e,Mahindra,Marazzo,121 hp,300 Nm,6-speed Manual,FWD,17 km/l,"7, 8",Rs. 12.4 - 14.12 Lakh,2018 - present,MPV,1.5L mHawk Diesel,4,7,Diesel,"['red', 'blue', 'black', 'silver', 'grey', 'green', 'silver', 'brown']"
15,efdad5c6-7bd3-4859-8ee2-65b359a29094,Mahindra,Alturas G4,178 hp,420 Nm,7-speed Automatic,AWD,12 km/l,5,Rs. 28.74 - 31.73 Lakh,2018 - present,SUV,2.2L mHawk Diesel,4,4,CNG,"['red', 'white', 'black', 'green', 'yellow', 'silver', 'brown']"
16,c8299a5c-041a-4202-9420-131931deac12,Toyota,Camry,203-301 hp,182-267 lb-ft,8-speed automatic,FWD,26-34 mpg,4,"$25,045-$35,130",2018-2021,Sedan,2.5L 4-cylinder / 3.5L V6,4 / 6,7,Diesel,"['white', 'blue', 'silver', 'grey', 'yellow', 'silver']"
17,ed274a64-f613-4e70-acec-bb35794feada,Toyota,Corolla,169 hp,151 lb-ft,Continuously variable-speed automatic,FWD,30-33 mpg,4,"$20,025-$25,725",2019-2021,Sedan,2.0L 4-cylinder,4,5,Petrol,"['red', 'black', 'green']"
18,f518135c-8dc8-45c1-b042-87ed4cea2040,Toyota,RAV4,203-219 hp,184-265 lb-ft,8-speed automatic,FWD / AWD,27-40 mpg,4,"$26,250-$37,330",2019-2021,SUV,2.5L 4-cylinder,4,5,Diesel,"['blue', 'black', 'silver', 'yellow', 'silver', 'brown']"
19,e485b77e-51de-4eab-adfc-62885b082ab0,Toyota,Highlander,295-295 hp,263-263 lb-ft,8-speed automatic,FWD / AWD,21-36 mpg,4,"$35,085-$47,230",2019-2021,SUV,3.5L V6,6,5,Petrol,"['silver', 'green', 'brown']"
20,1a7ec113-eac5-4a56-8a77-04bd02fca57d,Toyota,4Runner,270 hp,278 lb-ft,5-speed automatic,RWD / 4WD,16-19 mpg,4,"$36,765-$50,745",2018-2021,SUV,4.0L V6,6,5,Diesel,"['silver', 'green', 'brown']"
21,7d09e741-c156-4ffe-9377-68d10eb5ac7e,Toyota,Tacoma,159-278 hp,180-265 lb-ft,6-speed automatic / 6-speed manual,RWD / 4WD,18-23 mpg,2 / 4,"$26,150-$46,780",2019-2021,Pickup truck,2.7L 4-cylinder / 3.5L V6,4 / 6,5,Diesel,"['red', 'white', 'silver', 'grey', 'yellow', 'brown']"
22,ba6a2fba-00db-4732-991e-e7f02afbc3d2,Toyota,Tundra,381 hp,401 lb-ft,6-speed automatic,RWD / 4WD,13-17 mpg,2 / 4,"$33,675-$51,995",2018-2021,Pickup truck,5.7L V8,8,2,Petrol,"['white', 'blue', 'black', 'grey', 'green', 'yellow']"
23,bbc5b475-3a02-45c6-9954-d90356580c19,Ford,Mustang,310-760 hp,350-625 lb-ft,6-speed manual/10-speed automatic,RWD,16-21 mpg city / 24-32 mpg highway,2,"$28,450-$61,600",2015-2021,Coupe/Convertible,Gas V6/V8,4/6/2008,2,Diesel,"['blue', 'black', 'silver', 'yellow', 'brown']"
24,945e3c34-8a46-400f-9a53-2c7827969c31,Ford,F-150,290-450 hp,265-510 lb-ft,6-speed automatic/10-speed automatic,RWD/4WD,16-20 mpg city / 22-26 mpg highway,2/4,"$28,940-$70,825",2015-2021,Pickup Truck,"Gas V6/V8, Diesel V6",6/8,5,CNG,"['red', 'black', 'silver', 'grey']"
